transaction_date,invoice_no,source_system,transaction_type,counterparty_name,counterparty_country,gl_account,description,currency,net_amount,gst_amount,gross_amount,original_tax_code
2026-01-07,E-2001,NetSuite,SALE,Hong Kong Quant Fund,HK,4100 Export Revenue,Export analytics model,SGD,19000,0,19000,ZR
2026-01-19,E-2002,NetSuite,SALE,Australian Fintech Pty Ltd,AU,4100 Export Revenue,International service package,SGD,22000,0,22000,ZR
2026-02-07,E-2003,NetSuite,SALE,Jakarta Capital Partners,ID,4100 Export Revenue,Export reporting integration,SGD,16500,0,16500,ZR
2026-02-28,E-2004,NetSuite,SALE,Tokyo Crypto Desk,JP,4100 Export Revenue,International service analytics,SGD,27500,0,27500,ZR
2026-03-21,E-2005,NetSuite,SALE,London Asset Manager,GB,4100 Export Revenue,Export compliance data pack,SGD,34000,0,34000,ZR
2026-01-31,INT-3001,NetSuite,SALE,DBS Bank,SG,4200 Other Income,Bank interest income,SGD,1200,0,1200,EXEMPT
2026-02-28,INT-3002,NetSuite,SALE,OCBC Bank,SG,4200 Other Income,Interest income sweep,SGD,850,0,850,EXEMPT
2026-03-15,FIN-3003,NetSuite,SALE,Private Investor Desk,SG,4200 Other Income,Financial service arrangement fee,SGD,4500,0,4500,EXEMPT
2026-01-25,OOS-4001,HRIS,ADJUSTMENT,Internal Payroll,SG,6100 Payroll,Salary recharge allocation,SGD,6000,0,6000,NA
2026-02-15,OOS-4002,Treasury,ADJUSTMENT,Group Treasury,SG,2100 Intercompany,Transfer within group,SGD,14000,0,14000,NA
2026-03-03,OOS-4003,Treasury,SALE,Portfolio Company,SG,4300 Dividend Income,Dividend received,SGD,18000,0,18000,NA
2026-01-04,P-5001,Xero,PURCHASE,AWS Singapore,SG,5200 Cloud Hosting,Cloud infrastructure hosting,SGD,4500,405,4905,TX-GST
2026-01-08,P-5002,Xero,PURCHASE,Microsoft Singapore,SG,5200 Software,Microsoft Azure and licenses,SGD,3900,351,4251,TX
2026-01-20,P-5003,Xero,PURCHASE,NUS ISS,SG,5300 Training,Analytics training workshop,SGD,2100,189,2289,GST
2026-02-03,P-5004,Xero,PURCHASE,WeWork Singapore,SG,5400 Office Rent,Office space and meeting rooms,SGD,6200,558,6758,TX-GST
2026-02-12,P-5005,Xero,PURCHASE,DataVendor SG,SG,5500 Data Subscription,Financial market data feed,SGD,7600,684,8284,GST
2026-02-21,P-5006,Xero,PURCHASE,Legal LLP,SG,5600 Professional Fees,Tax advisory and contract review,SGD,5300,477,5777,TX
2026-03-07,P-5007,Xero,PURCHASE,KPMG Singapore,SG,5600 Professional Fees,GST review services,SGD,9800,882,10682,TX-GST
2026-03-19,P-5008,Xero,PURCHASE,Singtel,SG,5700 Connectivity,Fiber broadband service,SGD,1200,108,1308,GST
2026-01-16,D-6001,Xero,PURCHASE,Executive Auto Leasing,SG,5800 Motor Car,Motor car lease for director,SGD,2400,216,2616,TX-GST
2026-02-06,D-6002,Xero,PURCHASE,Sentosa Club,SG,5810 Club Subscription,Club subscription membership,SGD,3200,288,3488,GST
2026-02-26,D-6003,Xero,PURCHASE,Private Wellness Clinic,SG,5820 Staff Benefits,Staff medical insurance renewal,SGD,4100,369,4469,TX-GST
2026-03-09,D-6004,Xero,PURCHASE,Casino Events SG,SG,5830 Entertainment,Entertainment gambling event,SGD,1500,135,1635,GST
2026-01-30,RC-7001,Stripe,PURCHASE,OpenAI LLC,US,5900 Imported Services,Overseas service API usage,SGD,8000,720,8720,RC
2026-02-17,RC-7002,Stripe,PURCHASE,US SaaS Vendor,US,5900 Imported Services,Imported service monitoring platform,SGD,6700,603,7303,RC
2026-03-23,RC-7003,Stripe,PURCHASE,EU Data Provider,DE,5900 Imported Services,Reverse charge market data,SGD,12500,1125,13625,RC
2026-01-27,S-1008,Xero,SALE,Mapletree Systems,SG,4000 Local Revenue,Duplicate invoice test,SGD,7300,657,7957,SR
2026-02-20,,Xero,PURCHASE,Stationery Hub,SG,5990 Office Supplies,Missing invoice stationery,SGD,450,40.5,490.5,GST
2026-03-17,P-5010,Xero,PURCHASE,,SG,5990 Office Supplies,Missing supplier name,SGD,780,70.2,850.2,GST
2026-03-28,CN-8001,Xero,SALE,QCP Capital Pte Ltd,SG,4000 Local Revenue,Credit note for local service,SGD,-2000,-180,-2180,SR-GST
2026-04-02,LATE-9001,Xero,SALE,Late Customer Pte Ltd,SG,4000 Local Revenue,Out of period local service,SGD,3000,270,3270,SR-GST
2026-03-12,FX-9002,Stripe,PURCHASE,US SaaS Vendor,US,5200 Software,Foreign currency low value goods,USD,2000,180,2180,RC
2026-01-11,IPM-9101,NetSuite,SALE,Bullion Desk SG,SG,4210 Exempt Income,Investment precious metal local supply,SGD,5200,0,5200,EXEMPT
2026-01-13,DPT-9102,NetSuite,SALE,Digital Asset Desk,SG,4210 Exempt Income,Digital payment token brokerage transaction,SGD,8800,0,8800,EXEMPT
2026-01-24,OOS-9103,NetSuite,SALE,Overseas Commodity Buyer,HK,4120 Overseas Sales,Overseas-to-overseas sale of goods not brought into Singapore,SGD,25500,0,25500,NA
2026-02-05,IMP-9104,TradeGecko,PURCHASE,Singapore Customs,SG,5100 Inventory,Imported goods with import GST permit,SGD,18500,1665,20165,TX-IMPORT
2026-02-09,EXP-9105,NetSuite,SALE,Seoul Electronics,KR,4100 Export Revenue,Zero-rated export sale missing export evidence,SGD,14400,0,14400,ZR
2026-02-13,ER-9106,Expensify,PURCHASE,Employee Reimbursement,SG,5850 Staff Claims,Employee reimbursement needing review missing tax invoice,SGD,640,57.6,697.6,GST
2026-02-19,REG-9107,Xero,PURCHASE,Small Supplier Not Registered,SG,5990 Office Supplies,Purchase with GST but supplier not GST registered,SGD,1100,99,1199,GST
2026-03-04,RES-9108,NetSuite,SALE,Residential Tenant,SG,4220 Property Income,Residential property rental marked exempt,SGD,7000,0,7000,EXEMPT
2026-03-16,ROUND-9109,Xero,SALE,Rounding Customer Pte Ltd,SG,4000 Local Revenue,Standard-rated sale with rounding difference,SGD,333.33,30.00,363.33,SR-GST
